,convnext_small_finetune,efficientnet_b0_finetune,resnet50_finetune,swin_s_finetune,vit_b16_finetune,resnet50_frozen
Achaemenid architecture,0.9391304347826087,0.8983050847457628,0.9122807017543859,0.9482758620689655,0.9310344827586207,0.831858407079646
American Foursquare architecture,0.7818181818181819,0.6138613861386139,0.7049180327868853,0.6728971962616822,0.7155963302752294,0.6129032258064516
American craftsman style,0.7192982456140351,0.5517241379310345,0.6055045871559633,0.711864406779661,0.6846846846846847,0.4892086330935252
Ancient Egyptian architecture,0.9763779527559056,0.9672131147540983,0.967741935483871,0.992,0.9763779527559056,0.8888888888888888
Art Deco architecture,0.7932960893854749,0.625,0.7425149700598802,0.7380952380952381,0.735632183908046,0.5333333333333333
Art Nouveau architecture,0.8351648351648352,0.7357512953367875,0.7701149425287356,0.8491620111731844,0.8307692307692308,0.5897435897435898
Baroque architecture,0.8,0.7108433734939759,0.7786259541984732,0.8053691275167785,0.7586206896551724,0.5714285714285714
Bauhaus architecture,0.6736842105263158,0.5454545454545454,0.5842696629213483,0.6868686868686869,0.5957446808510638,0.4854368932038835
Beaux-Arts architecture,0.676923076923077,0.512396694214876,0.6050420168067226,0.676923076923077,0.5581395348837209,0.4098360655737705
Byzantine architecture,0.7835051546391752,0.7111111111111111,0.6739130434782609,0.7777777777777778,0.7551020408163265,0.6888888888888889
Chicago school architecture,0.7391304347826086,0.7111111111111111,0.6987951807228916,0.7659574468085106,0.7333333333333333,0.58
Colonial architecture,0.7014925373134329,0.5,0.5365853658536586,0.6622516556291391,0.631578947368421,0.2018348623853211
Deconstructivism,0.8333333333333334,0.7872340425531915,0.7872340425531915,0.7912087912087912,0.8247422680412371,0.6804123711340206
Edwardian architecture,0.5121951219512195,0.3333333333333333,0.325,0.49230769230769234,0.5301204819277109,0.3
Georgian architecture,0.5853658536585366,0.5147058823529411,0.5714285714285714,0.6307692307692307,0.6106870229007634,0.453125
Gothic architecture,0.9320388349514563,0.8952380952380953,0.9142857142857143,0.8909090909090909,0.8761904761904762,0.84
Greek Revival architecture,0.8263473053892215,0.7831325301204819,0.8045977011494253,0.8104575163398693,0.810126582278481,0.6490066225165563
International style,0.6299212598425197,0.6153846153846154,0.5398773006134969,0.5945945945945946,0.6231884057971014,0.5517241379310345
Novelty architecture,0.9557522123893806,0.8833333333333333,0.8947368421052632,0.9482758620689655,0.9401709401709402,0.896551724137931
Palladian architecture,0.7391304347826086,0.5833333333333334,0.6739130434782609,0.6666666666666666,0.6947368421052632,0.416
Postmodern architecture,0.6868686868686869,0.43478260869565216,0.6363636363636364,0.6046511627906976,0.6823529411764706,0.49122807017543857
Queen Anne architecture,0.8144796380090498,0.7911111111111111,0.7741935483870968,0.8288288288288288,0.8229665071770335,0.7214611872146118
Romanesque architecture,0.8421052631578947,0.8539325842696629,0.803921568627451,0.8125,0.8045977011494253,0.6526315789473685
Russian Revival architecture,0.822429906542056,0.7706422018348624,0.7843137254901961,0.8571428571428571,0.8108108108108109,0.7719298245614035
Tudor Revival architecture,0.765625,0.7299270072992701,0.7368421052631579,0.8153846153846154,0.723404255319149,0.6771653543307087
